iter	Passed	Remaining
0	7198	7191689
1	14001	6986774
2	20672	6870217
3	27491	6845487
4	34071	6780183
5	41032	6797798
6	47685	6764474
7	54682	6780582
8	61803	6805295
9	68613	6792716
10	75532	6791025
11	82380	6782662
12	88962	6754294
13	95173	6702938
14	101921	6692829
15	108988	6702789
16	115564	6682341
17	122202	6666835
18	129195	6670546
19	136202	6673924
20	143162	6674099
21	149840	6661080
22	156775	6659542
23	163481	6648260
24	169688	6617844
25	175983	6592617
26	182033	6559956
27	188953	6559376
28	195697	6552496
29	201928	6529026
30	208696	6523455
31	215308	6513094
32	221973	6504489
33	228256	6485178
34	235141	6483187
35	241405	6464306
36	247856	6450979
37	254091	6432535
38	260544	6420071
39	267417	6418011
40	273726	6402540
41	280429	6396467
42	287299	6394085
43	293761	6382639
44	300655	6380580
45	307056	6368087
46	313584	6358419
47	320220	6351047
48	327028	6347029
49	334189	6349599
50	341287	6350621
51	347844	6341463
52	354220	6329189
53	360549	6316292
54	367082	6307151
55	374055	6305508
56	380643	6297312
57	387766	6297865
58	394231	6287664
59	400711	6277808
60	407016	6265386
61	413509	6255995
62	420134	6248670
63	426669	6240036
64	433017	6228795
65	439957	6226059
66	446684	6220250
67	453235	6211996
68	460055	6207419
69	466681	6200196
70	473287	6192739
71	480405	6191898
72	487119	6185750
73	493687	6177761
74	500766	6176124
75	507388	6168778
76	513799	6158917
77	520707	6155023
78	527445	6149085
79	534005	6141062
80	540634	6133860
81	547287	6126948
82	554094	6121741
83	560492	6112033
84	567034	6103957
85	574057	6101028
86	580864	6095739
87	587279	6086351
88	594157	6081768
89	600390	6070611
90	606949	6062827
91	613597	6055937
92	620017	6046837
93	626631	6039664
94	633296	6032981
95	639492	6021883
96	645775	6011706
97	652433	6005050
98	658828	5996005
99	665347	5988131
100	672234	5983553
101	679339	5980850
102	685940	5973671
103	692529	5966412
104	699009	5958221
105	705627	5951235
106	712423	5945736
107	719149	5939643
108	725868	5933473
109	732851	5929438
110	739467	5922405
111	746293	5917043
112	752900	5909935
113	759780	5904960
114	766517	5898853
115	773266	5892826
116	779686	5884301
117	786243	5876833
118	792845	5869719
119	799962	5866390
120	806704	5860276
121	813508	5854594
122	820261	5848530
123	826855	5841331
124	833325	5833275
125	839488	5823117
126	846367	5817941
127	853623	5815309
128	860705	5811428
129	867193	5803523
130	874021	5797895
131	879418	5782839
132	886286	5777518
133	892733	5769456
134	899799	5765380
135	906253	5757375
136	913221	5752629
137	919714	5744880
138	923468	5720187
139	929629	5710580
140	936191	5703467
141	942939	5697477
142	946417	5671889
143	953000	5665060
144	959709	5658974
145	966607	5653989
146	973090	5646573
147	976834	5623399
148	980568	5600425
149	987453	5595568
150	993751	5587385
151	1000203	5580082
152	1007833	5579313
153	1011948	5559146
154	1019719	5559117
155	1023806	5539057
156	1032349	5543123
157	1039742	5540903
158	1047127	5538580
159	1050701	5516184
160	1056033	5503179
161	1062993	5498693
162	1066303	5475434
163	1073059	5469988
164	1076568	5448087
165	1080136	5426709
166	1086827	5421122
167	1090517	5400659
168	1094440	5381540
169	1098299	5362285
170	1105193	5357925
171	1108445	5336003
172	1115344	5331735
173	1120612	5319689
174	1124485	5301148
175	1128088	5281505
176	1131662	5261911
177	1135819	5245188
178	1139907	5228289
179	1144259	5212736
180	1148415	5196420
181	1152139	5178297
182	1155351	5158043
183	1159052	5140144
184	1163000	5123489
185	1166725	5105990
186	1170660	5089555
187	1174638	5073438
188	1181501	5069828
189	1188593	5067162
190	1195928	5065477
191	1199752	5048958
192	1207416	5048626
193	1211754	5034402
194	1218689	5031001
195	1222699	5015565
196	1228161	5006159
197	1231762	4989258
198	1235168	4971707
199	1239508	4958034
200	1242698	4939881
201	1246044	4922493
202	1249216	4904560
203	1252893	4888743
204	1256420	4872459
205	1260582	4858748
206	1264406	4843838
207	1268062	4828392
208	1274848	4824903
209	1278419	4809291
210	1281722	4792792
211	1285666	4778797
212	1288972	4762542
213	1292625	4747679
214	1296356	4733207
215	1301553	4724157
216	1306750	4715141
217	1311419	4704266
218	1316480	4694844
219	1319850	4679471
220	1323478	4665113
221	1327019	4650547
222	1330425	4635609
223	1337193	4632418
224	1340783	4618254
225	1344008	4602931
226	1347059	4587123
227	1350980	4574372
228	1356237	4566195
229	1361774	4558985
230	1367141	4551219
231	1371105	4538832
232	1374999	4526286
233	1378880	4513771
234	1383848	4504869
235	1387149	4490601
236	1390604	4476925
237	1393944	4462963
238	1398699	4453600
239	1403106	4443172
240	1406919	4430922
241	1414201	4429606
242	1418299	4418324
243	1422093	4406159
244	1425867	4393999
245	1429524	4381551
246	1433277	4369464
247	1436892	4357029
248	1442024	4349239
249	1445387	4336163
250	1449013	4323949
251	1449013	4323949
252	1452538	4305737
253	1455783	4292548
254	1475162	4326754
255	1483262	4327636
256	1492054	4330455
257	1492054	4330455
258	1497325	4317190
259	1504719	4315860
260	1509169	4306086
261	1512876	4294240
262	1516945	4283481
263	1520837	4272275
264	1525425	4263072
265	1528831	4250614
266	1532910	4240089
267	1537211	4230222
268	1541037	4219095
269	1544368	4206674
270	1548285	4195910
271	1552253	4185336
272	1556033	4174304
273	1560287	4164590
274	1564352	4154416
275	1571424	4152231
276	1575320	4141659
277	1579591	4132120
278	1583912	4122747
279	1592500	4124462
280	1596113	4113281
281	1599910	4102627
282	1603502	4091498
283	1607255	4080833
284	1611044	4070306
285	1614867	4059913
286	1618586	4049306
287	1623599	4041967
288	1627273	4031330
289	1630818	4020420
290	1635082	4011327
291	1639370	4002325
292	1644354	3995045
293	1649125	3987269
294	1652758	3976773
295	1656819	3967350
296	1661142	3958586
297	1665856	3950782
298	1669793	3941161
299	1679460	3945042
300	1683801	3936377
301	1688813	3929307
302	1693353	3921154
303	1697595	3912339
304	1701934	3903777
305	1706122	3894896
306	1710287	3885996
307	1714543	3877334
308	1718935	3869004
309	1723295	3860630
310	1726965	3850740
311	1730726	3841095
312	1734043	3830507
313	1737728	3820774
314	1741595	3811478
315	1745076	3801377
316	1748717	3791662
317	1752131	3781498
318	1759063	3778935
319	1763124	3770203
320	1766811	3760705
321	1770606	3751471
322	1774067	3741569
323	1778021	3732739
324	1781592	3723142
325	1785235	3713731
326	1788795	3704183
327	1793016	3696034
